player,matches_batted,total_runs,balls_faced,fours,sixes,batting_sr,avg_runs,boundary_pct,matches_bowled,balls_bowled,runs_conceded,wickets,overs,bowling_econ,bowling_sr,ipl_experience
RG Sharma,266,7048,5475,640,303,128.7305936,26.4962406,0.621169126,32,349,462,16,58.16666667,7.94269341,21.8125,266
V Kohli,259,8671,6702,774,292,129.3792898,33.47876448,0.559105063,26,264,371,5,44,8.431818182,52.8,259
MS Dhoni,241,5439,4101,375,264,132.6261887,22.56846473,0.567015996,0,0,0,0,0,0,0,241
KD Karthik,233,4843,3687,466,161,131.3534039,20.78540773,0.584348544,0,0,0,0,0,0,0,233
S Dhawan,221,6769,5483,768,153,123.4543133,30.62895928,0.589451913,6,49,72,4,8.166666667,8.816326531,12.25,221
SK Raina,200,5536,4177,506,204,132.5353124,27.68,0.586705202,69,930,1139,30,155,7.348387097,31,200
RV Uthappa,197,4954,3927,481,182,126.1522791,25.14720812,0.608800969,0,0,0,0,0,0,0,197
RA Jadeja,194,3260,2607,240,117,125.0479478,16.80412371,0.509815951,225,4127,5242,179,687.8333333,7.621032227,23.05586592,225
AT Rayudu,185,4348,3490,359,173,124.5845272,23.5027027,0.56899724,0,0,0,0,0,0,0,185
DA Warner,184,6567,4849,663,236,135.4299856,35.69021739,0.619460941,1,2,2,0,0.333333333,6,0,184
AM Rahane,183,5032,4133,515,123,121.7517542,27.49726776,0.556041335,1,6,5,1,1,5,6,183
SV Samson,171,4704,3475,379,219,135.3669065,27.50877193,0.601615646,0,0,0,0,0,0,0,171
AB de Villiers,170,5181,3487,414,253,148.5804416,30.47647059,0.612623046,0,0,0,0,0,0,0,170
KA Pollard,168,3437,2447,221,224,140.4577033,20.45833333,0.648239744,107,1586,2200,81,264.3333333,8.322824716,19.58024691,168
MK Pandey,161,3951,3355,340,116,117.7645306,24.54037267,0.520374589,0,0,0,0,0,0,0,161
YK Pathan,153,3222,2334,263,161,138.0462725,21.05882353,0.626319056,82,1184,1443,46,197.3333333,7.3125,25.73913043,153
G Gambhir,151,4217,3524,492,59,119.6651532,27.92715232,0.550628409,0,0,0,0,0,0,0,151
