player_id,player_name,player_full_name,bat_style,bowl_style,field_pos,overall_matches,overall_batting_innings,overall_runs,overall_balls_faced,overall_dismissals,overall_fours,overall_sixes,overall_bowling_innings,overall_balls_bowled,overall_runs_conceded,overall_wickets,overall_catches,overall_stumpings,overall_run_outs,overall_batting_avg,overall_batting_sr,overall_bowling_avg,overall_bowling_econ,overall_bowling_sr,international_matches,international_batting_innings,international_runs,international_balls_faced,international_dismissals,international_fours,international_sixes,international_bowling_innings,international_balls_bowled,international_runs_conceded,international_wickets,international_catches,international_stumpings,international_run_outs,international_batting_avg,international_batting_sr,international_bowling_avg,international_bowling_econ,international_bowling_sr,national_matches,national_batting_innings,national_runs,national_balls_faced,national_dismissals,national_fours,national_sixes,national_bowling_innings,national_balls_bowled,national_runs_conceded,national_wickets,national_catches,national_stumpings,national_run_outs,national_batting_avg,national_batting_sr,national_bowling_avg,national_bowling_econ,national_bowling_sr,domestic_matches,domestic_batting_innings,domestic_runs,domestic_balls_faced,domestic_dismissals,domestic_fours,domestic_sixes,domestic_bowling_innings,domestic_balls_bowled,domestic_runs_conceded,domestic_wickets,domestic_catches,domestic_stumpings,domestic_run_outs,domestic_batting_avg,domestic_batting_sr,domestic_bowling_avg,domestic_bowling_econ,domestic_bowling_sr,ipl_matches,ipl_batting_innings,ipl_runs,ipl_balls_faced,ipl_dismissals,ipl_fours,ipl_sixes,ipl_bowling_innings,ipl_balls_bowled,ipl_runs_conceded,ipl_wickets,ipl_catches,ipl_stumpings,ipl_run_outs,ipl_batting_avg,ipl_batting_sr,ipl_bowling_avg,ipl_bowling_econ,ipl_bowling_sr,psl_matches,psl_batting_innings,psl_runs,psl_balls_faced,psl_dismissals,psl_fours,psl_sixes,psl_bowling_innings,psl_balls_bowled,psl_runs_conceded,psl_wickets,psl_catches,psl_stumpings,psl_run_outs,psl_batting_avg,psl_batting_sr,psl_bowling_avg,psl_bowling_econ,psl_bowling_sr,hundred_matches,hundred_batting_innings,hundred_runs,hundred_balls_faced,hundred_dismissals,hundred_fours,hundred_sixes,hundred_bowling_innings,hundred_balls_bowled,hundred_runs_conceded,hundred_wickets,hundred_catches,hundred_stumpings,hundred_run_outs,hundred_batting_avg,hundred_batting_sr,hundred_bowling_avg,hundred_bowling_econ,hundred_bowling_sr,bbl_matches,bbl_batting_innings,bbl_runs,bbl_balls_faced,bbl_dismissals,bbl_fours,bbl_sixes,bbl_bowling_innings,bbl_balls_bowled,bbl_runs_conceded,bbl_wickets,bbl_catches,bbl_stumpings,bbl_run_outs,bbl_batting_avg,bbl_batting_sr,bbl_bowling_avg,bbl_bowling_econ,bbl_bowling_sr,t10_matches,t10_batting_innings,t10_runs,t10_balls_faced,t10_dismissals,t10_fours,t10_sixes,t10_bowling_innings,t10_balls_bowled,t10_runs_conceded,t10_wickets,t10_catches,t10_stumpings,t10_run_outs,t10_batting_avg,t10_batting_sr,t10_bowling_avg,t10_bowling_econ,t10_bowling_sr,other_matches,other_batting_innings,other_runs,other_balls_faced,other_dismissals,other_fours,other_sixes,other_bowling_innings,other_balls_bowled,other_runs_conceded,other_wickets,other_catches,other_stumpings,other_run_outs,other_batting_avg,other_batting_sr,other_bowling_avg,other_bowling_econ,other_bowling_sr
6730,Mohsin Khan,Mohsin Khan,Left hand Bat,Left arm Medium fast,,55,18,119,112,12,10,4,51,1056,1391,65,6,0,1,9.9167,106.25,21.4,7.9034,16.2462,6,3,24,37,3,3,0,3,54,73,4,0,0,0,8,64.8649,18.25,8.1111,13.5,25,10,70,51,6,5,3,25,516,620,34,4,0,1,11.6667,137.2549,18.2353,7.2093,15.1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,25,24,3,2,1,23,486,698,27,2,0,0,8.3333,104.1667,25.8519,8.6173,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Rashid Khan,Rashid Khan Arman,Right hand Bat,Legbreak Googly, ,395,220,1948,1369,157,145,124,390,8931,10448,496,131,0,10,12.4076,142.2936,21.0645,7.0191,18.006,3,2,12,12,2,0,1,3,66,116,3,0,0,0,6,100,38.6667,10.5455,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,75,639,505,59,50,39,133,2969,3415,157,52,0,4,10.8305,126.5347,21.7516,6.9013,18.9108,136,66,585,365,42,41,41,136,3202,3863,158,47,0,6,13.9286,160.274,24.4494,7.2386,20.2658,28,20,203,147,10,16,11,28,666,702,44,6,0,0,20.3,138.0952,15.9545,6.3243,15.1364,22,11,106,72,10,6,9,22,430,615,36,12,0,0,10.6,147.2222,17.0833,8.5814,11.9444,69,46,403,268,34,32,23,68,1598,1737,98,14,0,0,11.8529,150.3731,17.7245,6.5219,16.3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,K Rabada,Kagiso Rabada,Left hand Bat,Right arm Fast, ,416,205,2045,3174,171,219,50,411,24400,20026,804,121,0,12,11.9591,64.4297,24.908,4.9244,30.3483,252,141,1687,2797,130,187,38,249,20354,14834,582,75,0,7,12.9769,60.3146,25.488,4.3728,34.9725,2,2,25,51,3,4,0,2,462,247,7,0,0,0,8.3333,49.0196,35.2857,3.2078,66,78,31,118,125,20,12,3,76,1673,2129,93,20,0,2,5.9,94.4,22.8925,7.6354,17.9892,84,31,215,201,18,16,9,84,1911,2816,122,26,0,3,11.9444,106.9652,23.082,8.8414,15.6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,SN Khan,Sarfaraz Naushad Khan,Right hand Bat,Legbreak, ,81,60,1236,1176,48,131,31,2,8,12,0,30,0,3,25.75,105.102,0,9,0,6,6,371,495,10,44,8,0,0,0,0,3,0,0,37.1,74.9495,0,0,0,25,18,280,233,12,24,9,1,6,6,0,17,0,1,23.3333,120.1717,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,36,585,448,26,63,14,1,2,6,0,10,0,2,22.5,130.5804,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,MN Samuels,Marlon Nathaniel Samuels,Right hand Bat,Right arm Offbreak, ,357,342,10864,14835,331,1101,281,205,8246,6493,150,85,0,15,32.8218,73.2322,43.2867,4.7245,54.9733,267,256,8768,13087,264,930,195,158,7363,5452,115,62,0,12,33.2121,66.9978,47.4087,4.4428,64.0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,61,1781,1449,45,146,75,30,537,607,18,17,0,3,39.5778,122.9124,33.7222,6.7821,29.8333,15,14,161,172,13,9,7,11,214,285,9,2,0,0,12.3846,93.6047,31.6667,7.9907,23.7778,5,5,81,67,4,5,3,0,0,0,0,1,0,0,20.25,120.8955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,73,60,5,11,1,6,132,149,8,3,0,0,14.6,121.6667,18.625,6.7727,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,SB Jakati,Shadab Bashir Jakati,Left hand Bat,Slow Left arm Orthodox, ,70,12,66,76,7,5,2,68,1333,1780,60,24,0,4,9.4286,86.8421,29.6667,8.012,22.2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,38,47,6,2,2,11,248,306,13,5,0,0,6.3333,80.8511,23.5385,7.4032,19.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,28,29,1,3,0,57,1085,1474,47,19,0,4,28,96.5517,31.3617,8.1512,23.0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,DA Warner,David Andrew Warner,Left hand Bat,Legbreak, ,651,649,28352,29065,690,3089,622,19,349,286,4,347,0,24,41.0899,97.5469,71.5,4.9169,87.25,376,374,18663,21624,444,2089,317,18,348,284,4,219,0,12,42.0338,86.3069,71,4.8966,87,5,5,412,702,9,57,0,0,0,0,0,4,0,0,45.7778,58.6895,0,0,0,35,35,968,830,31,97,15,0,0,0,0,15,0,0,31.2258,116.6265,0,0,0,184,184,6567,4702,164,663,236,1,1,2,0,88,0,9,40.0427,139.664,0,12,0,12,12,403,261,12,50,12,0,0,0,0,6,0,1,33.5833,154.4061,0,0,0,8,8,200,155,7,27,4,0,0,0,0,0,0,0,28.5714,129.0323,0,0,0,31,31,1139,791,23,106,38,0,0,0,0,15,0,2,49.5217,143.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,MP Stoinis,Marcus Peter Stoinis,Right hand Bat,Right arm Medium, ,448,402,9178,7516,318,779,379,311,6413,8078,262,111,0,10,28.8616,122.1128,30.8321,7.5578,24.4771,154,131,2877,2516,99,250,113,117,2904,3380,98,38,0,4,29.0606,114.3482,34.4898,6.9835,29.6327,8,8,286,550,12,37,2,7,728,441,11,4,0,0,23.8333,52,40.0909,3.6346,66.1818,40,37,566,499,33,38,27,33,701,1015,37,14,0,0,17.1515,113.4269,27.4324,8.6876,18.9459,110,99,2026,1400,72,158,106,71,888,1477,44,25,0,3,28.1389,144.7143,33.5682,9.9797,20.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,205,149,9,10,14,15,200,326,14,4,0,2,22.7778,137.5839,23.2857,9.78,14.2857,121,114,3218,2402,93,286,117,68,992,1439,58,26,0,1,34.6022,133.9717,24.8103,8.7036,17.1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,R Tewatia,Rahul Tewatia,Left hand Bat,Legbreak, ,143,106,1705,1182,64,151,77,78,1224,1577,49,58,0,4,26.6406,144.247,32.1837,7.7304,24.9796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,593,371,16,61,23,26,381,460,17,13,0,2,37.0625,159.8383,27.0588,7.2441,22.4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,77,1112,811,48,90,54,52,843,1117,32,45,0,2,23.1667,137.1147,34.9062,7.9502,26.3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,RA Tripathi,Rahul Ajay Tripathi,Right hand Bat,Right arm Medium, ,136,132,3109,2299,117,313,112,10,114,152,4,61,0,2,26.5726,135.2327,38,8,28.5,5,5,97,67,5,11,5,0,0,0,0,3,0,0,19.4,144.7761,0,0,0,31,29,721,570,25,73,22,9,108,140,4,24,0,1,28.84,126.4912,35,7.7778,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,2291,1662,87,229,85,1,6,12,0,34,0,1,26.3333,137.846,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
